Face Detection Time
"{'Video_Playback_Time': 1.8666666666666667, 'KST_Time': '2024-01-05 18:01:34.869839'}"
"{'Video_Playback_Time': 1.9, 'KST_Time': '2024-01-05 18:01:34.900569'}"
"{'Video_Playback_Time': 1.9333333333333333, 'KST_Time': '2024-01-05 18:01:34.930248'}"
"{'Video_Playback_Time': 1.9666666666666666, 'KST_Time': '2024-01-05 18:01:34.961218'}"
"{'Video_Playback_Time': 2.0, 'KST_Time': '2024-01-05 18:01:34.994186'}"
"{'Video_Playback_Time': 2.033333333333333, 'KST_Time': '2024-01-05 18:01:35.024147'}"
"{'Video_Playback_Time': 2.0666666666666664, 'KST_Time': '2024-01-05 18:01:35.054604'}"
"{'Video_Playback_Time': 2.1, 'KST_Time': '2024-01-05 18:01:35.084768'}"
"{'Video_Playback_Time': 2.1333333333333333, 'KST_Time': '2024-01-05 18:01:35.119344'}"
"{'Video_Playback_Time': 2.1666666666666665, 'KST_Time': '2024-01-05 18:01:35.162770'}"
"{'Video_Playback_Time': 2.2, 'KST_Time': '2024-01-05 18:01:35.195035'}"
"{'Video_Playback_Time': 2.2333333333333334, 'KST_Time': '2024-01-05 18:01:35.224676'}"
"{'Video_Playback_Time': 2.2666666666666666, 'KST_Time': '2024-01-05 18:01:35.254973'}"
"{'Video_Playback_Time': 2.3, 'KST_Time': '2024-01-05 18:01:35.284543'}"
"{'Video_Playback_Time': 2.3333333333333335, 'KST_Time': '2024-01-05 18:01:35.318704'}"
"{'Video_Playback_Time': 2.3666666666666667, 'KST_Time': '2024-01-05 18:01:35.349570'}"
"{'Video_Playback_Time': 2.4, 'KST_Time': '2024-01-05 18:01:35.380557'}"
"{'Video_Playback_Time': 2.433333333333333, 'KST_Time': '2024-01-05 18:01:35.409448'}"
"{'Video_Playback_Time': 2.466666666666667, 'KST_Time': '2024-01-05 18:01:35.442844'}"
"{'Video_Playback_Time': 2.5, 'KST_Time': '2024-01-05 18:01:35.475525'}"
"{'Video_Playback_Time': 2.533333333333333, 'KST_Time': '2024-01-05 18:01:35.506311'}"
"{'Video_Playback_Time': 2.5666666666666664, 'KST_Time': '2024-01-05 18:01:35.535185'}"
"{'Video_Playback_Time': 2.6, 'KST_Time': '2024-01-05 18:01:35.568606'}"
"{'Video_Playback_Time': 2.6333333333333333, 'KST_Time': '2024-01-05 18:01:35.611613'}"
"{'Video_Playback_Time': 2.6666666666666665, 'KST_Time': '2024-01-05 18:01:35.642953'}"
"{'Video_Playback_Time': 2.7, 'KST_Time': '2024-01-05 18:01:35.674832'}"
"{'Video_Playback_Time': 2.7333333333333334, 'KST_Time': '2024-01-05 18:01:35.704627'}"
"{'Video_Playback_Time': 2.7666666666666666, 'KST_Time': '2024-01-05 18:01:35.737997'}"
"{'Video_Playback_Time': 2.8, 'KST_Time': '2024-01-05 18:01:35.767254'}"
"{'Video_Playback_Time': 2.8333333333333335, 'KST_Time': '2024-01-05 18:01:35.799951'}"
"{'Video_Playback_Time': 2.8666666666666667, 'KST_Time': '2024-01-05 18:01:35.830192'}"
"{'Video_Playback_Time': 2.9, 'KST_Time': '2024-01-05 18:01:35.862273'}"
"{'Video_Playback_Time': 2.933333333333333, 'KST_Time': '2024-01-05 18:01:35.893576'}"
"{'Video_Playback_Time': 2.966666666666667, 'KST_Time': '2024-01-05 18:01:35.924147'}"
"{'Video_Playback_Time': 3.0, 'KST_Time': '2024-01-05 18:01:35.955276'}"
"{'Video_Playback_Time': 3.033333333333333, 'KST_Time': '2024-01-05 18:01:35.986357'}"
"{'Video_Playback_Time': 3.0666666666666664, 'KST_Time': '2024-01-05 18:01:36.017320'}"
"{'Video_Playback_Time': 3.1, 'KST_Time': '2024-01-05 18:01:36.044500'}"
